Year,Price,Days,Cheat,Quota,Production,Capacity ,Caputil,Q1,Q2,Q3,War1,War2
1986q3,15.32256387,95.24857909,1.170333333,15.863,17.03333333,28.1,0.606168446,0,0,1,0,0
1986q4,18.34794708,89.22417952,1.161,14.879,16.04,28.1,0.570818505,0,0,0,0,0
1987q1,21.89602113,86.31780931,1.038666667,15.648,16.68666667,28.07,0.594466215,1,0,0,0,0
1987q2,23.71915493,91.03330535,3.632,15.648,19.28,28.07,0.686854293,0,1,0,0,0
1987q3,24.26701585,92.65924609,2.422333333,16.441,18.86333333,28.07,0.67201045,0,0,1,0,0
1987q4,21.96047535,89.62898574,1.459,16.441,17.9,28.07,0.637691486,0,0,0,0,0
1988q1,18.07289941,85.79948306,3.709,14.901,18.61,28,0.664642857,1,0,0,0,0
1988q2,18.89519865,92.2215972,5.055666667,14.901,19.95666667,28,0.712738095,0,1,0,0,0
1988q3,16.94555368,92.37766057,7.572333333,14.901,22.47333333,28,0.802619048,0,0,1,0,0
1988q4,16.28683009,84.67467445,5.029,14.901,19.93,28,0.711785714,0,0,0,0,0
1989q1,19.77699194,84.41476263,2.622666667,18.334,20.95666667,28.4,0.737910798,1,0,0,0,0
1989q2,22.16001613,90.35039371,3.462666667,18.334,21.79666667,28.4,0.767488263,0,1,0,0,0
1989q3,20.70067742,92.11149849,3.591666667,19.325,22.91666667,28.4,0.806924883,0,0,1,0,0
1989q4,22.45525806,84.8961522,2.697333333,20.316,23.01333333,28.4,0.810328638,0,0,0,0,0
1990q1,21.50022188,86.58151673,1.244333333,21.889,23.13333333,26.16653728,0.884080805,1,0,0,0,0
1990q2,17.3186228,93.71738296,0.392333333,21.889,21.49666667,26.16653728,0.821532725,0,1,0,0,0
1990q3,27.78262433,91.30513069,0.086,22.294,22.38,26.16653728,0.855290853,0,0,1,1,0
1990q4,32.62847743,90.34127115,0.240666667,22.294,22.05333333,26.16653728,0.842806715,0,0,0,1,0
1991q1,20.02529369,86.03624545,0.674,22.294,21.62,23.03122896,0.938725417,1,0,0,0,0
1991q2,18.75427313,90.46716775,0.717,22.013,22.73,23.03122896,0.986920847,0,1,0,0,0
1991q3,19.66049927,92.03364277,1.257,22.013,23.27,23.03122896,1.010367273,0,0,1,0,0
1991q4,19.48386197,86.86371871,0.026666667,23.65,23.62333333,23.03122896,1.025708762,0,0,0,0,0
1992q1,16.38708482,84.2681662,0.547666667,22.709,23.25666667,24.99210488,0.930560542,1,0,0,0,0
1992q2,19.57429081,89.5908928,1.271,22.709,23.98,24.99210488,0.959503016,0,1,0,0,0
1992q3,20.01789024,89.24411776,2.087666667,22.709,24.79666667,24.99210488,0.992180002,0,0,1,0,0
1992q4,18.56034925,85.52824237,0.806666667,24.2,25.00666667,24.99210488,1.000582655,0,0,0,0,0
1993q1,17.34767474,85.33026958,0.009,24.289,24.28,26.93312617,0.901492083,1,0,0,0,0
1993q2,17.22461592,90.86796096,1.565666667,23.301,24.86666667,26.93312617,0.923274428,0,1,0,0,0
1993q3,15.38597232,91.20871266,1.509,23.301,24.81,26.93312617,0.921170452,0,0,1,0,0
1993q4,13.98889273,86.000925,0.600333333,24.233,24.83333333,26.93312617,0.922036795,0,0,0,0,0
1994q1,12.88090418,82.34746732,0.577,24.233,24.81,27.95487836,0.887501626,1,0,0,0,0
1994q2,15.40767881,87.80462983,0.567,24.233,24.8,27.95487836,0.887143907,0,1,0,0,0
1994q3,16.00761134,88.30760115,0.827,24.233,25.06,27.95487836,0.896444609,0,0,1,0,0
1994q4,15.55589744,85.4936838,0.847,24.233,25.08,27.95487836,0.897160048,0,0,0,0,0
1995q1,15.99542651,82.8950305,1.313666667,24.233,25.54666667,27.797695,0.919021044,1,0,0,0,0
1995q2,17.32694882,87.72831973,1.447,24.233,25.68,27.797695,0.923817604,0,1,0,0,0
1995q3,15.48066273,88.2908865,1.453666667,24.233,25.68666667,27.797695,0.924057432,0,0,1,0,0
1995q4,15.79981627,82.81989513,1.603666667,24.233,25.83666667,27.797695,0.929453563,0,0,0,0,0
1996q1,17.26666667,77.51933558,1.577,24.233,25.81,28.083065,0.919059227,1,0,0,0,0
1996q2,18.50333333,83.80910179,1.793666667,24.233,26.02666667,28.083065,0.926774434,0,1,0,0,0
1996q3,19.50333333,83.06610026,1.303666667,25.033,26.33666667,28.083065,0.937813115,0,0,1,0,0
1996q4,21.7,79.471295,1.827,25.033,26.86,28.083065,0.956448308,0,0,0,0,0
1997q1,18.66833022,80.02241758,1.990333333,25.033,27.02333333,29.597585,0.913024942,1,0,0,0,0
1997q2,15.96697819,83.67405124,2.437,25.033,27.47,29.597585,0.928116264,0,1,0,0,0
1997q3,16.23092212,82.63368509,2.703666667,25.033,27.73666667,29.597585,0.937126008,0,0,1,0,0
1997q4,15.50752025,81.02672436,3.803666667,25.033,28.83666667,29.597585,0.974291202,0,0,0,0,0
1998q1,11.40653374,81.9310518,1.156666667,27.5,28.65666667,30.927969,0.926561543,1,0,0,0,0
1998q2,10.46641718,87.63702896,2.244666667,25.742,27.98666667,30.927969,0.904898303,0,1,0,0,0
1998q3,10.35732515,86.64922028,3.546333333,24.387,27.93333333,30.927969,0.903173866,0,0,1,0,0
1998q4,9.157312883,83.69796406,3.836333333,24.387,28.22333333,30.927969,0.912550492,0,0,0,0,0
1999q1,9.524501801,81.54061999,2.396333333,24.387,26.78333333,31.458502,0.851386164,1,0,0,0,0
1999q2,13.71854742,86.56331264,4.170666667,22.976,27.14666667,31.458502,0.862935771,0,1,0,0,0
1999q3,18.03188475,84.02190796,3.690666667,22.976,26.66666667,31.458502,0.847677574,0,0,1,0,0
1999q4,20.80070828,78.10622341,4.490666667,22.976,27.46666667,31.458502,0.873107902,0,0,0,0,0
2000q1,23.31936121,76.90421835,5.827333333,22.976,28.80333333,31.236635,0.922101031,1,0,0,0,0
2000q2,23.40743902,80.84725335,8.711,21.069,29.78,31.236635,0.953367736,0,1,0,0,0
2000q3,25.30263066,79.76903442,4.373333333,25.4,29.77333333,31.236635,0.953154312,0,0,1,0,0
2000q4,23.66863531,78.32555312,2.833333333,26.2,29.03333333,31.236635,0.92946418,0,0,0,0,0
2001q1,19.59404291,76.89464644,2.775666667,25.201,27.97666667,31.415851,0.890527099,1,0,0,0,0
2001q2,19.83324675,82.18803281,3.939,24.201,28.14,31.415851,0.895726173,0,1,0,0,0
2001q3,19.03590062,81.34551673,3.105666667,24.201,27.30666667,31.415851,0.869200286,0,0,1,0,0
2001q4,13.99785432,81.21070506,3.022333333,23.201,26.22333333,31.415851,0.834716632,0,0,0,0,0
2002q1,16.07083936,81.07440925,3.983333333,21.7,25.68333333,31.11311278,0.825482603,1,0,0,0,0
2002q2,20.01005559,84.52764506,4.843333333,21.7,26.54333333,31.11311278,0.853123682,0,1,0,0,0
2002q3,21.53922735,82.03558789,5.586666667,21.7,27.28666667,31.11311278,0.877015002,0,0,1,0,0
